Year,Yr,Pop
1867,1,3.463
1872,2,3.755
1877,3,4.064
1882,4,4.400
1887,5,4.626
1892,6,4.883
1897,7,5.122
1902,8,5.494
1907,9,6.411
1912,10,7.389
1917,11,8.060
1922,12,8.919
1927,13,9.637
1932,14,10.510
1937,15,11.045
1942,16,11.654
1947,17,12.551
1952,18,14.459
1957,19,16.610
1962,20,18.583
1967,21,20.500
1972,22,22.219
1977,23,23.727
1982,24,25.118
1987,25,26.449
1992,26,28.377
1997,27,29.906
2002,28,31.360
2007,29,32.889
2012,30,34.714
2017,31,36.545
2022,32,38.930
