Team,Season,w,l,otl,g,a,d,pp,pk
Boston Bruins,20222023,65,12,5,3.67,2.12,1.55,22.2,87.3
Carolina Hurricanes,20222023,52,21,9,3.2,2.56,0.64,19.8,84.4
New Jersey Devils,20222023,52,22,8,3.52,2.71,0.81,21.9,82.6
Vegas Golden Knights,20222023,51,22,9,3.26,2.74,0.52,20.3,77.4
Toronto Maple Leafs,20222023,50,21,11,3.39,2.68,0.71,26,81.9
Colorado Avalanche,20222023,51,24,7,3.34,2.72,0.62,24.5,79
Edmonton Oilers,20222023,50,23,9,3.96,3.12,0.84,32.4,77
Dallas Stars,20222023,47,21,14,3.43,2.62,0.81,25,83.5
New York Rangers,20222023,47,22,13,3.33,2.63,0.7,24.1,81.2
Los Angeles Kings,20222023,47,25,10,3.34,3.1,0.24,25.3,75.8
Minnesota Wild,20222023,46,25,11,2.91,2.67,0.24,21.4,82
Seattle Kraken,20222023,46,28,8,3.52,3.07,0.45,19.8,76.7
Tampa Bay Lightning,20222023,46,30,6,3.41,3.07,0.34,25.4,79.7
Winnipeg Jets,20222023,46,33,3,3,2.73,0.27,19.3,82.4
New York Islanders,20222023,42,31,9,2.95,2.65,0.3,15.8,82.2
Calgary Flames,20222023,38,27,17,3.15,3.01,0.14,19.8,82.6
Florida Panthers,20222023,42,32,8,3.51,3.32,0.19,22.8,76
Nashville Predators,20222023,42,32,8,2.72,2.88,-0.16,17.6,82.6
Buffalo Sabres,20222023,42,33,7,3.57,3.62,-0.05,23.4,73
Pittsburgh Penguins,20222023,40,31,11,3.18,3.21,-0.03,21.7,79.1
Ottawa Senators,20222023,39,35,8,3.16,3.29,-0.13,23.5,80.1
Vancouver Canucks,20222023,38,37,7,3.29,3.61,-0.32,22.7,71.6
St. Louis Blues,20222023,37,38,7,3.17,3.63,-0.46,19.3,72.4
Washington Capitals,20222023,35,37,10,3.09,3.18,-0.09,21.2,81.9
Detroit Red Wings,20222023,35,37,10,2.89,3.35,-0.46,21.1,78.3
Philadelphia Flyers,20222023,31,38,13,2.68,3.37,-0.69,15.6,74.7
Arizona Coyotes,20222023,28,40,14,2.74,3.6,-0.86,18.9,74.6
Montréal Canadiens,20222023,31,45,6,2.77,3.72,-0.95,16.1,72.7
San Jose Sharks,20222023,22,44,16,2.84,3.84,-1,18.4,82.4
Chicago Blackhawks,20222023,26,49,7,2.46,3.65,-1.19,16.4,76.2
Columbus Blue Jackets,20222023,25,48,9,2.6,4.01,-1.41,18.3,75.1
Anaheim Ducks,20222023,23,47,12,2.51,4.09,-1.58,15.7,72.1
